title;address;averageprice;rating
Pain d'épices;12 Rue Jean du Bellay 75004 Paris;Prix moyen 20 €;8,9
O' Bar à Crêpes;238, rue de Tolbiac 75013 Paris;Prix moyen 27 €;8,9
Shake n' Smash;87, rue de Turbigo 75003 Paris;Prix moyen 30 €;8,9
La Table de Lucie;"29 Rue d&#39;Édimbourg 75008 Paris";Prix moyen 35 €;8,6
Les Baux de Paris;71 Rue Mouffetard 75005 Paris;Prix moyen 25 €;8,9
Passage de Pondichery;84 Passage Brady 75010 Paris;Prix moyen 20 €;8,6
OBU - Organisation des Burgers Unis;200 Rue du Faubourg Saint-Martin 75010 Paris;Prix moyen 20 €;8,9
Yes;23, rue Saint-Didier 75016 Paris;Prix moyen 25 €;8,9
Le Ju';16 Rue des Archives 75004 Paris;Prix moyen 20 €;8,9
Le Bistrot M;137 Avenue Jean Jaurès 75019 Paris;Prix moyen 20 €;8,6
Mezze du Liban;48 bis, rue Saint-Maur 75011 Paris;Prix moyen 17 €;8,9
FujiYaki;15 Rue de la Roquette 75011 Paris;Prix moyen 15 €;8,9
Bistro V;56 Boulevard de Port-Royal 75005 Paris;Prix moyen 27 €;8,6
Nem Hanoi;44 Rue Lamartine 75009 Paris;Prix moyen 15 €;8,9
Les Fernandes;18 Rue Guisarde 75006 Paris;Prix moyen 30 €;8,9
Crêperie l'Atelier - Champs Elysees;3, Rue du Commandant Rivière 75008 Paris;Prix moyen 19 €;8,9
Monsieur;80 Boulevard Richard Lenoir 75011 Paris;Prix moyen 25 €;8,9
Boutj'dao;16 Rue Sedaine 75011 Paris;Prix moyen 20 €;8,9
Le Café;62 Rue Tiquetonne 75002 Paris;Prix moyen 25 €;8,9
Solemar;56, rue Poussin 75016 Paris;Prix moyen 22 €;9,1
ApéRock;7, rue Bayen 75017 Paris;Prix moyen 35 €;8,9
Pur' - Jean-François Rouquette - Park Hyatt Paris-Vendôme;5 Rue de la Paix 75002 Paris;Prix moyen 147 €;9,5
Fric-Frac;79 Quai de Valmy 75010 Paris;Prix moyen 18 €;9,2
Antoine - Thibault Sombardier;10, Avenue de New York 75116 Paris;Prix moyen 105 €;9,5
Marclee - Asian fusion experience;10, rue Saulnier 75009 Paris;Prix moyen 29 €;9,2
Le P'tit Musset;132, rue Cardinet 75017 Paris;Prix moyen 42 €;8,8
La Grange;20 Rue Saussier-Leroy 75017 Paris;Prix moyen 27 €;8,9
Le Bossu;17 rue des deux ponts 75004 Paris;Prix moyen 35 €;8,9
Les Petits Plats de Marc;6 Rue de l'Arbalète 75005 Paris;Prix moyen 20 €;9
Il était une oie dans le Sud-Ouest;8 Rue Gustave Flaubert 75017 Paris;Prix moyen 45 €;9
Le Mastroquet;3, rue Riboutté 75009 Paris;Prix moyen 25 €;9
L'Atelier du Tartare;1 Place des 2 Écus 75001 Paris;Prix moyen 20 €;8,9
Les Fondus de la Raclette Jules Joffrin;19 Rue Joseph Dijon 75018 Paris;Prix moyen 22 €;9
Côté Pizza;65, boulevard Malesherbes 75008 Paris;Prix moyen 27 €;9
1ndix Café;47 Avenue Trudaine 75009 Paris;Prix moyen 20 €;9
L'Atypic;51 Rue du Théâtre 75015 Paris;Prix moyen 35 €;9
